pID;Name;Surname;Salary;Domain;State;Role;Gender;Ethnicity;FamSituation;Performance;Rating
3556;Damien;Howe;Zone B;Sales;CA;MANAGER;Male;White;Single;Exceeds;2
3557;Nicholas;Obrien;Zone C;Sales;MA;CLERK;Male;Other;Single;Fully Meets;2
3558;Mildred;Gentry;Zone A;Production       ;MA;MANAGER;Female;Black;Single;Fully Meets;1
3559;Wilson K;Adinolfi;Zone C;Production       ;MA;CLERK;Male;White;Single;Fully Meets;2
3560;Joanne;Handschiegl;Zone C;Production       ;MA;CLERK;Female;Asian;Divorced;Exceeds;4
3561;Dianna;Blount;Zone C;Production       ;MA;CLERK;Female;White;Married;Fully Meets;5
3562;Jean;Crimmings;Zone B;Production       ;MA;MANAGER;Female;Other;Single;Exceeds;2
3563;Nore;Sadki;Zone B;Production       ;MA;CLERK;Male;Black;Widowed;PIP;4
3564;Susan;Lundy;Zone C;Production       ;MA;CLERK;Female;White;Divorced;Fully Meets;1
3565;Kramer;Keatts;Zone B;Production       ;MA;CLERK;Male;Other;Divorced;Fully Meets;4
3566;Maliki;Moumanil;Zone A;Production       ;MA;CLERK;Male;Black;Single;Fully Meets;2
3567;Nader;Barton;Zone C;Production       ;MA;CLERK;Male;Asian;Widowed;Fully Meets;4
3568;Quinn;Rarrick;Zone B;Production       ;MA;CLERK;Male;Asian;Divorced;Fully Meets;2
3569;Beatrice;Chace;Zone B;Production       ;MA;MANAGER;Female;Hispanic;Divorced;Fully Meets;2
3570;Adrienne J;Homberger;Zone B;Production       ;MA;CLERK;Female;Asian;Married;Fully Meets;1
3571;Marilyn;Linares;Zone C;Production       ;MA;CLERK;Female;White;Widowed;Fully Meets;4
3572;Timothy;Sullivan;Zone A;Production       ;MA;CLERK;Male;White;Single;Fully Meets;5
3573;Jennifer;Medeiros;Zone B;Production       ;MA;CLERK;Female;Asian;Divorced;Exceeds;4
3574;Anna;Von Massenbach;Zone B;Production       ;MA;CLERK;Female;Hispanic;Widowed;Fully Meets;1
3575;George;Johnson;Zone A;Production       ;MA;CLERK;Male;Hispanic;Single;Exceeds;5
3576;Angela;Erilus;Zone B;Production       ;MA;MANAGER;Female;Asian;Single;Exceeds;4
3577;Miguel;Estremera;Zone C;Production       ;MA;CLERK;Male;White;Widowed;Fully Meets;4
3578;Clinton;Owad;Zone A;Production       ;MA;CLERK;Male;Hispanic;Married;Exceeds;2
3579;Constance;Sloan;Zone C;Production       ;MA;CLERK;Female;Asian;Widowed;Needs Improvement;4
3580;Davion;Sanchez;Zone C;Production       ;MA;CLERK;Male;Other;Married;Fully Meets;4
3581;Ross;Strickland;Zone A;Production       ;MA;CLERK;Male;Other;Divorced;Fully Meets;2
3582;Augustus;Drake;Zone B;Production       ;MA;CLERK;Male;Asian;Widowed;Fully Meets;4
3583;Gracelyn;Huynh;Zone C;Production       ;MA;MANAGER;Female;White;Married;Needs Improvement;4
3584;Orlando;Armstrong;Zone C;Production       ;MA;CLERK;Female;Other;Married;Fully Meets;4
3585;Edward;Everett;Zone A;Production       ;MA;CLERK;Female;Black;Divorced;Fully Meets;4
3586;Jaqueline;Terrell;Zone B;Production       ;MA;MANAGER;Female;Hispanic;Single;Fully Meets;2
3587;Quinn;Mccullough;Zone B;Production       ;MA;MANAGER;Male;Other;Divorced;Fully Meets;2
3588;Selena;Greer;Zone C;Production       ;MA;CLERK;Male;Black;Widowed;Fully Meets;2
3589;Giovani;Roy;Zone B;Production       ;MA;CLERK;Male;White;Single;Fully Meets;1
3590;Dominik;Mullen;Zone C;Production       ;MA;CLERK;Male;Asian;Widowed;Fully Meets;4
3591;Abdullah;Ellison;Zone B;Production       ;MA;MANAGER;Female;White;Married;Needs Improvement;5
3592;Andre;Guzman;Zone B;Production       ;MA;CLERK;Male;Other;Single;Fully Meets;3
3593;Brayden;Malone;Zone A;Production       ;MA;CLERK;Male;Asian;Married;Fully Meets;1
3594;Maribel;Morrison;Zone B;Production       ;MA;CLERK;Male;Black;Married;Needs Improvement;1
3595;Fisher;Stafford;Zone A;Production       ;MA;CLERK;Male;Other;Divorced;Fully Meets;1
3596;Kellen;Medina;Zone C;Production       ;MA;CLERK;Male;Other;Single;Needs Improvement;2
3597;Brenton;Monroe;Zone C;Production       ;MA;CLERK;Female;Black;Single;Fully Meets;1
3598;Derick;Rocha;Zone A;Production       ;MA;MANAGER;Female;Other;Married;Needs Improvement;1
3599;Elaine;Weeks;Zone A;Production       ;MA;CLERK;Female;White;Divorced;Fully Meets;2
3600;Marely;Dixon;Zone B;Production       ;MA;CLERK;Female;White;Single;Fully Meets;2
3601;Keagan;Henson;Zone B;Production       ;MA;CLERK;Female;White;Married;Fully Meets;5
3602;Helena;Davenport;Zone B;Production       ;MA;CLERK;Female;Hispanic;Married;Fully Meets;5
3603;Houston;Aguirre;Zone A;Production       ;MA;CLERK;Female;White;Married;Fully Meets;2
3604;Kane;Owen;Zone B;Production       ;MA;CLERK;Female;Hispanic;Divorced;Needs Improvement;4
3605;Emerson;Pitts;Zone C;Production       ;MA;CLERK;Male;Other;Divorced;Fully Meets;4
3606;Clarissa;Winters;Zone C;Production       ;MA;CLERK;Male;Other;Divorced;Fully Meets;3
3607;Frankie;Atkins;Zone A;Production       ;MA;MANAGER;Male;Other;Married;Fully Meets;5
3608;Ally;Zhang;Zone C;Production       ;MA;CLERK;Male;Other;Married;Fully Meets;3
3609;Kayleigh;Harmon;Zone B;Production       ;MA;CLERK;Female;Other;Widowed;Fully Meets;3
3610;Kayley;Myers;Zone C;Production       ;MA;CLERK;Female;Other;Single;Fully Meets;3
3611;Rowan;Cobb;Zone C;Production       ;MA;CLERK;Female;Hispanic;Married;Fully Meets;2
3612;Edward;Mann;Zone A;Production       ;MA;CLERK;Male;Black;Single;PIP;4
3613;Amirah;Johnson;Zone B;Production       ;MA;CLERK;Male;Asian;Married;Exceeds;1
3614;Bridget;Deleon;Zone B;Production       ;MA;MANAGER;Male;White;Married;Fully Meets;2
3615;Martin;Weber;Zone B;Production       ;MA;MANAGER;Male;Asian;Divorced;Exceeds;2
3616;Ruben;Lewis;Zone C;Production       ;MA;CLERK;Female;Hispanic;Married;Fully Meets;4
3617;Bailey;Collier;Zone C;Production       ;MA;CLERK;Female;Hispanic;Married;Fully Meets;1
3618;Charlee;Roth;Zone B;Production       ;MA;CLERK;Male;Black;Married;Fully Meets;3
3619;Karissa;Bowers;Zone A;Production       ;MA;CLERK;Male;Asian;Married;Fully Meets;3
3620;Noel;Ramirez;Zone A;Production       ;MA;CLERK;Male;Hispanic;Married;Fully Meets;2
3621;Victoria;Franco;Zone A;Production       ;MA;CLERK;Male;White;Married;Fully Meets;2
3622;Danika;Fleming;Zone A;Production       ;MA;CLERK;Female;Hispanic;Divorced;Fully Meets;3
3623;Jocelyn;Kline;Zone A;Production       ;MA;CLERK;Female;Asian;Divorced;Fully Meets;3
3624;Cesar;Higgins;Zone B;Production       ;MA;CLERK;Female;Asian;Married;Fully Meets;4
3625;Gabriel;Dodson;Zone B;Production       ;MA;CLERK;Female;Asian;Single;Fully Meets;5
3626;Raphael;Sandoval;Zone B;Production       ;MA;CLERK;Female;Asian;Single;Fully Meets;2
3627;Ruth;Harrell;Zone C;Production       ;MA;MANAGER;Female;Black;Married;Fully Meets;3
3628;Peyton;Barber;Zone B;Production       ;MA;CLERK;Female;Hispanic;Married;Fully Meets;3
3629;Reginald;Lowery;Zone B;Production       ;MA;CLERK;Male;Black;Divorced;Fully Meets;5
3630;Stephanie;Briggs;Zone B;Production       ;MA;CLERK;Male;Other;Widowed;Fully Meets;5
3631;Shaniya;Becker;Zone C;Production       ;MA;CLERK;Male;Other;Divorced;Fully Meets;3
3632;Ryan;Oconnell;Zone C;Production       ;MA;CLERK;Male;Asian;Married;Fully Meets;3
3633;Emma;Ware;Zone B;Production       ;MA;CLERK;Female;Hispanic;Single;Fully Meets;5
3634;Keyon;Haley;Zone B;Production       ;MA;MANAGER;Female;Other;Married;Fully Meets;5
3635;Kylee;Bates;Zone C;Production       ;MA;CLERK;Female;Hispanic;Single;Fully Meets;4
3636;Marc;Chandler;Zone B;Production       ;MA;MANAGER;Male;Asian;Divorced;Fully Meets;3
3637;Abdullah;Pruitt;Zone C;Production       ;MA;CLERK;Male;Asian;Divorced;Fully Meets;3
3638;Shamar;Roth;Zone C;Production       ;MA;MANAGER;Male;Hispanic;Single;Fully Meets;3
3639;Jaylen;Acosta;Zone C;Production       ;MA;CLERK;Female;Hispanic;Divorced;Fully Meets;3
3640;Kale;House;Zone A;Production       ;MA;CLERK;Female;Asian;Divorced;Fully Meets;3
3641;Kiersten;Ellis;Zone B;Production       ;MA;CLERK;Male;Other;Widowed;Fully Meets;3
3642;Karissa;Carrillo;Zone B;Production       ;MA;CLERK;Male;Black;Single;Fully Meets;3
3643;Issac;Whitehead;Zone A;Production       ;MA;CLERK;Male;Asian;Single;Fully Meets;3
3644;Madisyn;Andrews;Zone B;Production       ;MA;CLERK;Male;Black;Married;Fully Meets;3
3645;Madyson;Rhodes;Zone C;Production       ;MA;CLERK;Male;Asian;Single;Fully Meets;3
3646;Brenton;Rodriguez;Zone A;Production       ;MA;CLERK;Female;Hispanic;Widowed;Fully Meets;3
3647;Nathen;Arias;Zone A;Production       ;MA;CLERK;Female;Black;Single;Fully Meets;3
3648;Keyon;Hensley;Zone A;Production       ;MA;CLERK;Female;Other;Divorced;Exceeds;4
3649;Elisha;Ruiz;Zone A;Production       ;MA;CLERK;Female;White;Married;Exceeds;4
3650;Amirah;Stanley;Zone B;Production       ;MA;CLERK;Female;White;Divorced;Fully Meets;3
3651;Jeremy;Meyer;Zone C;Production       ;MA;CLERK;Female;White;Single;Fully Meets;3
3652;Owen;Dillon;Zone C;Production       ;MA;MANAGER;Male;Other;Married;Fully Meets;3
3653;Bridget;Bray;Zone B;Production       ;MA;CLERK;Male;Asian;Widowed;Exceeds;3
3654;Cassius;Gates;Zone A;Production       ;MA;CLERK;Male;Asian;Divorced;Exceeds;4
3655;Martha;Kemp;Zone C;Production       ;MA;CLERK;Male;Asian;Married;Fully Meets;3
3656;Francesca;Mcmahon;Zone B;Production       ;MA;CLERK;Male;Hispanic;Divorced;Exceeds;5
3657;Lorelei;Walls;Zone C;Production       ;MA;CLERK;Female;Black;Single;Fully Meets;4
3658;Emery;Gillespie;Zone C;Production       ;MA;CLERK;Female;Black;Divorced;Fully Meets;3
3659;Kaylee;Baldwin;Zone A;Production       ;MA;CLERK;Male;Other;Divorced;Exceeds;1
3660;Aron;Hester;Zone A;Production       ;MA;MANAGER;Male;Hispanic;Single;Exceeds;3
3661;Reagan;Brennan;Zone C;Production       ;MA;MANAGER;Male;Asian;Married;Fully Meets;3
3662;Hugh;Berry;Zone B;Production       ;MA;CLERK;Male;Other;Married;Exceeds;2
3663;Brandon;Anderson;Zone B;Production       ;MA;CLERK;Female;Black;Single;Exceeds;3
3664;Diana;Garza;Zone C;Production       ;MA;CLERK;Female;Other;Widowed;Fully Meets;3
3665;Dalton;Bowen;Zone B;Production       ;MA;CLERK;Male;Asian;Married;Fully Meets;3
3666;Davin;Peters;Zone A;Production       ;MA;CLERK;Male;Hispanic;Single;Fully Meets;3
3667;Leyla;Warren;Zone B;Production       ;MA;CLERK;Male;Black;Single;Fully Meets;3
3668;Victoria;Allen;Zone C;Production       ;MA;CLERK;Male;Asian;Widowed;Needs Improvement;3
3669;Tyler;Hines;Zone A;Production       ;MA;CLERK;Male;Black;Widowed;Fully Meets;3
3670;Sandra;Atkinson;Zone A;Production       ;MA;CLERK;Female;Hispanic;Widowed;Needs Improvement;3
3671;Simone;Hayes;Zone A;Production       ;MA;CLERK;Female;Asian;Divorced;Needs Improvement;3
3672;Rhett;Valenzuela;Zone A;Production       ;MA;CLERK;Female;Asian;Divorced;Fully Meets;3
3673;Lane;Zuniga;Zone B;Production       ;MA;MANAGER;Female;Other;Widowed;Fully Meets;3
3674;Isabelle;Shields;Zone C;Production       ;MA;CLERK;Female;Other;Single;Fully Meets;3
3675;Mario;Mays;Zone C;Production       ;MA;CLERK;Female;Hispanic;Divorced;Fully Meets;3
3676;Leah;Robinson;Zone B;Production       ;MA;CLERK;Male;Black;Divorced;Fully Meets;3
3677;Dayami;Bailey;Zone A;Production       ;MA;MANAGER;Male;Hispanic;Single;Fully Meets;3
3678;Ramon;Fleming;Zone A;Production       ;MA;CLERK;Male;Asian;Single;Fully Meets;3
3679;Pedro;Harrison;Zone A;Production       ;MA;CLERK;Male;Asian;Divorced;Fully Meets;3
3680;Harrison;Hudson;Zone B;Production       ;MA;CLERK;Female;Other;Divorced;Fully Meets;3
3681;Taniya;Lane;Zone B;Production       ;MA;MANAGER;Female;Black;Widowed;Fully Meets;3
3682;Rene;Wallace;Zone C;Production       ;MA;CLERK;Female;Black;Single;Fully Meets;4
3683;Kai;Gaines;Zone C;Production       ;MA;MANAGER;Male;Other;Divorced;Fully Meets;3
3684;Noelle;Levy;Zone C;Production       ;MA;CLERK;Male;Hispanic;Widowed;Fully Meets;3
3685;Kylie;Jimenez;Zone C;Production       ;MA;MANAGER;Male;Asian;Widowed;Fully Meets;3
3686;Carly;Figueroa;Zone A;Production       ;MA;MANAGER;Male;White;Single;Exceeds;1
3687;Bria;Mcpherson;Zone B;Production       ;MA;MANAGER;Female;White;Divorced;Exceeds;1
3688;Brynn;Harding;Zone B;Production       ;MA;MANAGER;Female;Asian;Divorced;Exceeds;3
3689;Rashad;Wells;Zone A;Production       ;MA;CLERK;Male;Asian;Married;Exceeds;3
3690;Jaylene;Deleon;Zone A;Production       ;MA;CLERK;Male;White;Single;Needs Improvement;3
3691;Chace;Church;Zone C;Production       ;MA;MANAGER;Male;Asian;Single;Needs Improvement;1
3692;Zayne;Hunter;Zone B;Production       ;MA;CLERK;Male;Black;Widowed;Needs Improvement;3
3693;Amya;Vega;Zone B;Production       ;MA;MANAGER;Female;White;Married;Exceeds;2
3694;Nickolas;West;Zone A;Production       ;MA;CLERK;Female;Hispanic;Married;PIP;4
3695;Cason;Neal;Zone C;Production       ;MA;CLERK;Female;Hispanic;Divorced;PIP;4
3696;Aldo;Dyer;Zone B;Production       ;MA;CLERK;Female;Hispanic;Widowed;PIP;3
3697;Sonia;Skinner;Zone A;Production       ;MA;CLERK;Female;Other;Single;PIP;4
3698;Julien;Banks;Zone A;Production       ;MA;CLERK;Female;Hispanic;Married;PIP;3
3699;Madelyn;Mcdonald;Zone B;Production       ;MA;CLERK;Male;Asian;Divorced;PIP;2
3700;Brenden;Nash;Zone A;Production       ;MA;MANAGER;Male;Hispanic;Divorced;PIP;1
3701;Genesis;Coleman;Zone B;Production       ;MA;CLERK;Male;Other;Single;PIP;2
3702;Justice;Branch;Zone C;Production       ;MA;CLERK;Male;Asian;Single;Exceeds;3
3703;Addisyn;Guerrero;Zone A;Production       ;MA;CLERK;Female;White;Widowed;Exceeds;4
